UserID,ActionCount
0,76
1,26
2,189
3,6
4,9
5,88
6,30
7,149
8,9
9,6
10,135
11,62
12,144
13,30
14,176
15,131
16,56
17,149
18,77
19,6
20,56
21,104
22,115
23,181
24,27
25,148
26,84
27,217
28,45
29,15
30,32
31,81
32,88
33,49
34,14
35,148
36,17
37,11
38,95
39,21
40,11
41,124
42,5
43,137
44,22
45,65
46,12
47,10
48,115
49,158
50,62
51,11
52,129
53,56
54,47
55,127
56,62
57,214
58,52
59,183
60,172
61,21
62,135
63,27
64,215
65,109
66,84
67,11
68,8
69,61
70,198
71,17
72,31
73,126
74,101
75,130
76,143
77,59
78,66
79,182
80,232
81,148
82,167
83,50
84,79
85,80
86,201
87,7
88,84
89,111
90,122
91,22
92,167
93,87
94,226
95,32
96,65
97,31
98,46
99,148
100,75
101,80
102,86
103,108
104,68
105,15
106,91
107,81
108,277
109,133
110,24
111,222
112,53
113,77
114,41
115,106
116,68
117,81
118,115
119,23
120,209
121,82
122,83
123,23
124,9
125,20
126,7
127,25
128,122
129,32
130,181
131,78
132,250
133,63
134,43
135,36
136,98
137,72
138,13
139,228
140,61
141,145
142,148
143,103
144,59
145,5
146,89
147,242
148,41
149,6
150,20
151,40
152,13
153,26
154,17
155,12
156,49
157,73
158,89
159,24
160,114
161,5
162,89
163,30
164,6
165,210
166,113
167,14
168,100
169,107
170,14
171,37
172,13
173,96
174,21
175,69
176,15
177,120
178,14
179,23
180,43
181,215
182,15
183,120
184,34
185,122
186,128
187,92
188,12
189,190
190,130
191,68
192,139
193,161
194,20
195,29
196,36
197,87
198,158
199,193
200,129
201,125
202,13
203,37
204,167
205,183
206,45
207,26
208,56
209,90
210,100
211,122
212,112
213,49
214,116
215,111
216,110
217,60
218,118
219,106
220,72
221,12
222,78
223,74
224,68
225,22
226,9
227,44
228,51
229,144
230,8
231,103
232,395
233,71
234,23
235,34
236,234
237,95
238,161
239,96
240,141
241,14
242,9
243,116
244,62
245,56
246,70
247,49
248,65
249,8
250,131
251,152
252,93
253,47
254,85
255,62
256,87
257,45
258,48
259,54
260,107
261,85
262,29
263,56
264,79
265,6
266,19
267,122
268,36
269,165
270,21
271,35
272,34
273,179
274,14
275,190
276,123
277,84
278,14
279,162
280,20
281,99
282,122
283,55
284,274
285,79
286,78
287,18
288,40
289,105
290,217
291,17
292,42
293,162
294,91
295,25
296,124
297,69
298,10
299,14
300,205
301,47
302,13
303,86
304,34
305,126
306,135
307,51
308,18
309,32
310,14
311,41
312,10
313,89
314,47
315,289
316,170
317,239
318,17
319,202
320,5
321,44
322,39
323,163
324,123
325,77
326,7
327,99
328,167
329,16
330,247
331,18
332,50
333,121
334,65
335,104
336,185
337,51
338,205
339,174
340,6
341,6
342,49
343,42
344,48
345,13
346,119
347,40
348,138
349,176
350,204
351,10
352,37
353,12
354,95
355,41
356,7
357,81
358,50
359,107
360,162
361,89
362,96
363,10
364,12
365,57
366,260
367,152
368,150
369,15
370,9
371,14
372,136
373,45
374,113
375,89
376,48
377,19
378,89
379,8
380,7
381,199
382,5
383,5
384,21
385,47
386,19
387,176
388,162
389,7
390,15
391,6
392,22
393,40
394,160
395,8
396,87
397,138
398,86
399,12
400,47
401,43
402,154
403,125
404,12
405,8
406,233
407,103
408,111
409,129
410,191
411,12
412,72
413,110
414,6
415,84
416,66
417,35
418,235
419,6
420,8
421,162
422,30
423,49
424,13
425,165
426,14
427,127
428,151
429,34
430,31
431,99
432,11
433,95
434,28
435,93
436,7
437,75
438,14
439,155
440,16
441,126
442,22
443,224
444,113
445,40
446,126
447,29
448,43
449,58
450,23
451,24
452,110
453,58
454,17
455,206
456,41
457,107
458,52
459,153
460,6
461,83
462,158
463,86
464,149
465,108
466,117
467,13
468,220
469,140
470,196
471,141
472,92
473,73
474,6
475,59
476,53
477,95
478,7
479,262
480,14
481,103
482,10
483,119
484,16
485,13
486,8
487,108
488,153
489,8
490,9
491,6
492,7
493,95
494,8
495,5
496,223
497,20
498,57
499,32
500,39
501,80
502,21
503,23
504,162
505,230
506,161
507,30
508,95
509,60
510,153
511,49
512,5
513,185
514,11
515,8
516,7
517,15
518,15
519,51
520,116
521,146
522,21
523,80
524,170
525,180
526,24
527,89
528,66
529,6
530,288
531,40
532,81
533,6
534,32
535,7
536,5
537,30
538,19
539,127
540,192
541,92
542,13
543,164
544,7
545,9
546,104
547,112
548,73
549,33
550,41
551,7
552,144
553,13
554,194
555,10
556,140
557,23
558,129
559,38
560,98
561,5
562,20
563,39
564,55
565,45
566,10
567,82
568,99
569,128
570,186
571,14
572,141
573,293
574,172
575,157
576,83
577,90
578,56
579,9
580,146
581,71
582,11
583,55
584,371
585,178
586,90
587,23
588,174
589,102
590,9
591,244
592,14
593,118
594,5
595,56
596,116
597,198
598,128
599,156
600,59
601,59
602,28
603,14
604,66
605,14
606,189
607,108
608,10
609,75
610,19
611,181
612,5
613,53
614,16
615,87
616,7
617,11
618,18
619,29
620,46
621,160
622,171
623,143
624,23
625,40
626,82
627,18
628,32
629,111
630,157
631,156
632,53
633,5
634,91
635,139
636,43
637,23
638,159
639,164
640,12
641,39
642,7
643,20
644,101
645,116
646,13
647,38
648,116
649,209
650,11
651,15
652,21
653,96
654,33
655,182
656,165
657,75
658,46
659,147
660,32
661,130
662,8
663,53
664,9
665,30
666,38
667,9
668,133
669,65
670,165
671,83
672,79
673,269
674,33
675,140
676,70
677,133
678,76
679,128
680,98
681,219
682,5
