TargetID,UserCount
0,1195
1,6695
2,3035
3,6159
4,5579
5,4948
6,4283
7,5207
8,5015
9,4609
10,2509
11,568
12,3056
13,4395
14,4549
15,3873
16,3561
17,4205
18,2878
19,2878
20,2016
21,2540
22,3542
23,2080
24,2482
25,3723
26,3343
27,2615
28,3194
29,2292
30,3072
31,2189
32,3237
33,2853
34,2205
35,1936
36,2569
37,2391
38,2248
39,2110
40,2057
41,1745
42,1918
43,1671
44,864
45,1640
46,1550
47,1382
48,1371
49,1314
50,847
51,2344
52,843
53,1879
54,1816
55,828
56,998
57,1424
58,1301
59,929
60,1225
61,843
62,773
63,1169
64,1109
65,733
66,664
67,1073
68,270
69,651
70,212
71,172
72,183
73,137
74,117
75,104
76,154
77,95
78,597
79,1323
80,579
81,744
82,847
83,567
84,1093
85,878
86,543
87,141
88,143
89,85
90,92
91,173
92,76
93,64
94,64
95,104
96,91
